#faceId	imagePath	faceRect.x	faceRect.y	faceRect.w	faceRect.h
39341	flickr/3/image00035.jpg	62	64	348	348
39342	flickr/3/image00032.jpg	110	25	88	88
39343	flickr/3/image00168.jpg	63	128	262	262
39344	flickr/3/image00179.jpg	181	341	276	276
39345	flickr/3/image00179.jpg	323	334	262	262
39346	flickr/3/image00091.jpg	312	172	192	192
39348	flickr/3/image00102.jpg	25	62	277	277
39349	flickr/3/image00104.jpg	161	141	184	184
39350	flickr/3/image00112.jpg	340	50	211	211
39351	flickr/3/image00120.jpg	132	65	201	201
39352	flickr/3/image00122.jpg	88	52	650	650
39353	flickr/3/image00137.jpg	247	87	208	208
39354	flickr/3/image00143.jpg	420	300	985	985
39355	flickr/3/image00144.jpg	160	223	645	645
39356	flickr/3/image00158.jpg	121	85	382	382
39357	flickr/3/image00180.jpg	167	101	189	189
39358	flickr/3/image00182.jpg	396	46	417	417
39359	flickr/3/image00188.jpg	33	168	112	112
39360	flickr/3/image00188.jpg	285	79	94	94
39361	flickr/3/image00188.jpg	362	129	106	106
39362	flickr/3/image00204.jpg	151	146	166	166
39363	flickr/3/image00235.jpg	165	125	116	116
39365	flickr/3/image00264.jpg	287	355	996	996
39366	flickr/3/image00271.jpg	443	176	250	250
39367	flickr/3/image00274.jpg	288	114	178	178
39368	flickr/3/image00278.jpg	305	-10	507	507
39369	flickr/3/image00280.jpg	105	71	124	124
39370	flickr/3/image00289.jpg	45	177	189	189
39371	flickr/3/image00289.jpg	129	112	177	177
39372	flickr/3/image00296.jpg	68	-36	464	464
39373	flickr/3/image00306.jpg	267	98	285	285
39374	flickr/3/image00311.jpg	123	344	696	696
39375	flickr/3/image00315.jpg	89	113	204	204
39376	flickr/3/image00330.jpg	311	57	54	54
39377	flickr/3/image00336.jpg	194	58	50	50
39378	flickr/3/image00336.jpg	311	47	46	46
39379	flickr/3/image00347.jpg	463	28	471	471
39380	flickr/3/image00348.jpg	781	311	739	739
39381	flickr/3/image00374.jpg	129	97	124	124
39382	flickr/3/image00385.jpg	321	150	298	298
39385	flickr/3/image00404.jpg	81	6	298	298
39386	flickr/3/image00339.jpg	187	143	222	222
39387	flickr/3/image00352.jpg	43	111	201	201
39388	flickr/3/image00392.jpg	175	41	197	197
39389	flickr/3/image00224.jpg	145	99	81	81
39390	flickr/3/image00408.jpg	108	106	93	93
39391	flickr/3/image00424.jpg	288	169	187	187
39392	flickr/3/image00433.jpg	121	190	190	190
39393	flickr/3/image00131.jpg	66	70	228	228
39394	flickr/3/image00167.jpg	109	27	83	83
39395	flickr/3/image00251.jpg	357	371	322	322
39396	flickr/3/image00312.jpg	162	158	87	87
39397	flickr/3/image00439.jpg	110	122	76	76
39398	flickr/3/image00442.jpg	234	95	85	85
39399	flickr/3/image00450.jpg	195	121	355	355
39400	flickr/3/image00454.jpg	153	159	218	218
39401	flickr/3/image00460.jpg	243	95	185	185
39402	flickr/3/image00469.jpg	770	159	256	256
39403	flickr/3/image00472.jpg	111	158	259	259
39404	flickr/3/image00473.jpg	150	168	197	197
39405	flickr/3/image00476.jpg	135	130	154	154
39406	flickr/3/image00486.jpg	353	112	383	383
39407	flickr/3/image00489.jpg	310	714	1657	1657
39408	flickr/3/image00497.jpg	111	144	132	132
39409	flickr/3/image00511.jpg	68	60	90	90
39410	flickr/3/image00516.jpg	265	343	1042	1042
39411	flickr/3/image00517.jpg	363	289	1061	1061
39412	flickr/3/image00519.jpg	108	142	56	56
39413	flickr/3/image00523.jpg	234	145	171	171
39414	flickr/3/image00530.jpg	320	241	379	379
39415	flickr/3/image00544.jpg	115	99	337	337
39417	flickr/3/image00551.jpg	112	106	172	172
39418	flickr/3/image00565.jpg	314	93	190	190
39419	flickr/3/image00591.jpg	115	53	95	95
39420	flickr/3/image00593.jpg	149	92	103	103
39423	flickr/3/image00599.jpg	159	48	158	158
39424	flickr/3/image00610.jpg	136	45	68	68
39425	flickr/3/image00612.jpg	106	90	119	119
39426	flickr/3/image00614.jpg	69	101	297	297
39427	flickr/3/image00622.jpg	86	101	102	102
39428	flickr/3/image00623.jpg	549	686	854	854
39429	flickr/3/image00627.jpg	10	85	206	206
39430	flickr/3/image00631.jpg	553	445	584	584
39431	flickr/3/image00636.jpg	317	202	213	213
39432	flickr/3/image00655.jpg	152	169	143	143
39433	flickr/3/image00661.jpg	231	200	481	481
39435	flickr/3/image00684.jpg	102	83	128	128
39436	flickr/3/image00695.jpg	153	64	83	83
39437	flickr/3/image00696.jpg	241	25	88	88
39438	flickr/3/image00696.jpg	346	148	84	84
39439	flickr/3/image00699.jpg	160	54	71	71
39440	flickr/3/image00722.jpg	440	12	943	943
39441	flickr/3/image00725.jpg	142	153	209	209
39442	flickr/3/image00733.jpg	74	127	323	323
39443	flickr/3/image00734.jpg	253	85	169	169
39444	flickr/3/image00735.jpg	757	473	768	768
39445	flickr/3/image00739.jpg	143	336	133	133
39446	flickr/3/image00743.jpg	51	1	255	255
39447	flickr/3/image00748.jpg	312	144	119	119
39448	flickr/3/image00759.jpg	244	165	162	162
39449	flickr/3/image00779.jpg	98	49	192	192
39450	flickr/3/image00781.jpg	220	87	92	92
39451	flickr/3/image00813.jpg	13	326	172	172
39453	flickr/3/image00825.jpg	140	138	49	49
39454	flickr/3/image00826.jpg	232	197	135	135
39455	flickr/3/image00829.jpg	312	161	63	63
39456	flickr/3/image00831.jpg	1664	538	672	672
39457	flickr/3/image00840.jpg	63	163	281	281
39458	flickr/3/image00850.jpg	224	112	153	153
39459	flickr/3/image00874.jpg	91	49	229	229
39460	flickr/3/image00902.jpg	127	17	179	179
39461	flickr/3/image00929.jpg	62	120	75	75
39462	flickr/3/image00929.jpg	189	125	67	67
39463	flickr/3/image00929.jpg	316	103	44	44
39464	flickr/3/image00929.jpg	67	340	73	73
39466	flickr/3/image00929.jpg	310	324	34	34
39467	flickr/3/image00935.jpg	154	79	101	101
39468	flickr/3/image00939.jpg	98	61	553	553
39469	flickr/3/image00946.jpg	317	81	147	147
39470	flickr/3/image00963.jpg	23	128	234	234
39471	flickr/3/image00971.jpg	141	232	73	73
39472	flickr/3/image00981.jpg	151	66	94	94
39473	flickr/3/image00983.jpg	169	62	86	86
39476	flickr/3/image01014.jpg	76	108	171	171
39477	flickr/3/image01017.jpg	92	188	212	212
39478	flickr/3/image01040.jpg	112	73	155	155
39479	flickr/3/image01062.jpg	188	71	143	143
39480	flickr/3/image01120.jpg	179	-18	268	268
39481	flickr/3/image01155.jpg	95	131	183	183
39482	flickr/3/image01157.jpg	67	64	231	231
39483	flickr/3/image01201.jpg	168	56	214	214
39484	flickr/3/image01243.jpg	92	72	421	421
39485	flickr/3/image01246.jpg	186	227	460	460
39486	flickr/3/image01283.jpg	221	101	180	180
39487	flickr/3/image01294.jpg	142	110	170	170
39488	flickr/3/image01299.jpg	170	121	105	105
39489	flickr/3/image01309.jpg	148	141	239	239
39490	flickr/3/image01315.jpg	286	272	95	95
39491	flickr/3/image01323.jpg	182	163	534	534
39492	flickr/3/image01362.jpg	98	123	143	143
39493	flickr/3/image01449.jpg	9	39	74	74
39494	flickr/3/image01449.jpg	409	93	77	77
39495	flickr/3/image01468.jpg	119	185	139	139
39496	flickr/3/image01474.jpg	96	197	197	197
39497	flickr/3/image01477.jpg	74	210	212	212
39498	flickr/3/image01486.jpg	188	214	170	170
39499	flickr/3/image01488.jpg	92	157	73	73
39500	flickr/3/image01488.jpg	694	297	106	106
39501	flickr/3/image01505.jpg	406	226	434	434
39502	flickr/3/image01506.jpg	453	237	431	431
39503	flickr/3/image01509.jpg	741	1109	1861	1861
39504	flickr/3/image01530.jpg	204	83	244	244
39505	flickr/3/image01556.jpg	1355	503	722	722
39506	flickr/3/image01562.jpg	177	119	236	236
39507	flickr/3/image01571.jpg	277	348	1068	1068
39509	flickr/3/image01575.jpg	-211	676	1894	1894
39510	flickr/3/image01575.jpg	886	828	1446	1446
39511	flickr/3/image01593.jpg	278	528	446	446
39512	flickr/3/image01604.jpg	229	36	320	320
39513	flickr/3/image01631.jpg	132	132	86	86
39514	flickr/3/image01631.jpg	231	78	132	132
39516	flickr/3/image01634.jpg	24	75	285	285
39517	flickr/3/image01634.jpg	204	49	262	262
39518	flickr/3/image01642.jpg	109	150	207	207
39523	flickr/3/image01653.jpg	245	130	271	271
39524	flickr/3/image01659.jpg	312	-17	189	189
39525	flickr/3/image01677.jpg	70	98	415	415
39526	flickr/3/image01688.jpg	83	84	283	283
39527	flickr/3/image01690.jpg	79	208	643	643
39528	flickr/3/image01700.jpg	54	43	72	72
39529	flickr/3/image01708.jpg	229	-10	372	372
39530	flickr/3/image01711.jpg	254	106	178	178
39531	flickr/3/image01733.jpg	628	302	1241	1241
39532	flickr/3/image01739.jpg	84	67	313	313
39533	flickr/3/image01749.jpg	130	123	71	71
39534	flickr/3/image01749.jpg	294	128	72	72
39537	flickr/3/image01763.jpg	142	69	114	114
39538	flickr/3/image01781.jpg	185	108	131	131
39539	flickr/3/image01783.jpg	203	123	101	101
39540	flickr/3/image01784.jpg	0	129	68	68
39541	flickr/3/image01784.jpg	211	106	70	70
39542	flickr/3/image01787.jpg	91	90	350	350
39543	flickr/3/image01795.jpg	131	39	98	98
39544	flickr/3/image01797.jpg	236	52	202	202
39545	flickr/3/image01818.jpg	138	92	253	253
39546	flickr/3/image01824.jpg	268	47	98	98
39547	flickr/3/image01828.jpg	270	113	686	686
39548	flickr/3/image01829.jpg	68	95	174	174
39549	flickr/3/image01839.jpg	435	213	372	372
